jellycatid,jellycatname,size,price,stock,datecreated,height,width
3721bd1a-1d5a-48ef-bc85-1e7e66da0b60,Bashful Moss Bunny,MEDIUM,28.0,In Stock,2024/01/06 07:37:58,12,5
3721bd1a-1d5a-48ef-bc85-1e7e66da0b60,Bashful Moss Bunny,SMALL,18.0,In Stock,2024/01/06 07:37:58,7,4
4a940509-32c3-4ece-8344-a47b62f8c20b,Bashful Viola Bunny,MEDIUM,28.0,In Stock,2024/01/06 07:38:00,12,5
4a940509-32c3-4ece-8344-a47b62f8c20b,Bashful Viola Bunny,SMALL,18.0,In Stock,2024/01/06 07:38:00,7,4
b46b8666-d5cc-467f-baf7-ddf047daff53,Bashful Bunny with Carrot,SMALL,28.0,In Stock,2024/01/06 07:38:01,7,4
434924a6-e5e4-44c5-864a-9d99fba68dc8,Bashful Bunny with Daffodil,SMALL,28.0,In Stock,2024/01/06 07:38:03,7,4
753eadc0-eb1d-4308-bf02-f2390d9fb265,Lottie Fairy Bunny Book,ONE SIZE,15.0,In Stock,2024/01/06 07:38:05,7,7
c2d34509-95f6-484e-8879-ae2a30dd1aaf,Blossom Cherry Bunny,MEDIUM,28.0,In Stock,2024/01/06 07:38:07,12,5
c2d34509-95f6-484e-8879-ae2a30dd1aaf,Blossom Cherry Bunny,SMALL,18.0,In Stock,2024/01/06 07:38:07,7,4
910e92c7-c5de-4763-90bf-4336cb1653e6,Dainty Dessert Bunny Macaron,ONE SIZE,28.0,In Stock,2024/01/06 07:38:09,5,5
7eee9901-01e7-4574-b87a-70ae464355f3,Lottie Bunny Fairy,ONE SIZE,32.5,In Stock,2024/01/06 07:38:12,11,3
f22832d0-08f2-4e2b-aa66-f042ab726d92,Messenger Bunny,ONE SIZE,32.5,In Stock,2024/01/06 07:38:14,7,5
ae82ef02-4bb2-4961-949b-171a0bd405dd,Amore Corgi,MEDIUM,40.0,In Stock,2024/01/06 07:38:16,10,7
d5508c27-8573-4814-b317-9431087fb031,Bartholomew Bear Pumpkin,LARGE,50.0,In Stock,2024/01/06 07:38:18,14,8
99308523-0f1d-4c80-8a3c-5cc7d9d66ac3,Bashful Pegasus,MEDIUM,28.0,In Stock,2024/01/06 07:38:21,12,5
84f77c2b-bd01-417f-bfd2-6d866bf59ec6,If I Were an Owl Board Book,ONE SIZE,13.5,In Stock,2024/01/06 07:38:23,6,6
c5c36c51-8c79-4778-9073-ed1de85c93d7,Betty Corgi Bag Charm,ONE SIZE,23.0,In Stock,2024/01/06 07:38:25,4,2
5f3fc477-fea4-4a52-9cb2-4e0404525169,Rory Le Courageux Petit Lion Livre (The Very Brave Lion),ONE SIZE,15.0,In Stock,2024/01/06 07:38:27,9,9
7c5413e5-49ef-40cc-91c7-28f800f92599,Lapin Timide Et Ses Petites Aventures Livre (Little Me),ONE SIZE,15.0,In Stock,2024/01/06 07:38:29,8,8
e12d0ee6-6b82-4610-a00c-3940578ffff9,Lapin Timide Veille Sur Tes Nuits Livre (The Magic Bunny),ONE SIZE,15.0,In Stock,2024/01/06 07:38:30,7,7
34e34382-26fd-4151-aeb3-c079a34d549d,Lapin Timide Veut Grandir Livre (When I Am Big),ONE SIZE,15.0,In Stock,2024/01/06 07:38:32,8,8
bb4a4ee7-a1a4-4747-98fa-495e2460b929,Bodacious Beak Parrot,ONE SIZE,30.0,In Stock,2024/01/06 07:38:34,9,4
8ee63e87-9b7a-497b-af34-acf01043f567,Bodacious Beak Toucan,ONE SIZE,30.0,In Stock,2024/01/06 07:38:35,9,4
f8e01b57-c135-42e4-82b9-8f7692bbe5f7,Bryno Dino,ONE SIZE,55.0,In Stock,2024/01/06 07:38:37,12,6
210b6444-b730-45ec-a561-b9271585a517,Coquette Cutie Bunny,ONE SIZE,32.5,In Stock,2024/01/06 07:38:39,10,2
683f254f-a4c1-44d5-a794-23a44cb86df6,Comfy Coat Bunny,ONE SIZE,25.0,In Stock,2024/01/06 07:38:41,7,3
1c0ef5b1-3c54-4da2-b276-e9b2e244493a,Comfy Coat Mouse,ONE SIZE,25.0,In Stock,2024/01/06 07:38:43,7,3
e133970a-8b46-483a-8a83-a00c74b09d06,Cuddlebud Bernard Bunny,ONE SIZE,28.0,In Stock,2024/01/06 07:38:45,6,4
914c6675-a17e-4028-a448-c095368c2c1b,Cuddlebud Darcy Dormouse,ONE SIZE,28.0,In Stock,2024/01/06 07:38:47,6,4
8ffea2a5-4659-4b0d-afe9-5eb685b9041b,Cuddlebud Morgan Mole,ONE SIZE,28.0,In Stock,2024/01/06 07:38:48,6,4
96dbdb1b-7b49-48cd-b729-52e5ff5906de,Spooky Greta Gremlin,ONE SIZE,40.0,In Stock,2024/01/06 07:38:50,11,4
382d2475-a2c0-42af-acb7-3dfef40599ee,Harvey Bear,ONE SIZE,150.0,In Stock,2024/01/06 07:38:52,11,25
6d656357-6e46-414a-857c-5baefcceac03,Huddles Grey Elephant,ONE SIZE,45.0,In Stock,2024/01/06 07:38:53,10,6
2db9faa0-6985-478a-8ca2-685f9d58858d,Isadora Unicorn,ONE SIZE,65.0,In Stock,2024/01/06 07:38:55,13,13
8ec9cec1-4870-4161-bfe5-64b0555d2e9e,Little Dragon,ONE SIZE,22.0,In Stock,2024/01/06 07:38:57,7,4
eac98cf8-7d9a-437a-86e5-87588d635d56,Lois Lionfish,ONE SIZE,35.0,In Stock,2024/01/06 07:38:58,6,10
fb3c660c-2141-4e14-acb6-0ca9d5e3b2ca,Napping Nipper Westie,ONE SIZE,25.0,In Stock,2024/01/06 07:39:00,4,6
b2d1046b-cfbc-42f9-b699-3bb4a56f291f,Otto Sausage Dog Bag Charm,ONE SIZE,23.0,In Stock,2024/01/06 07:39:01,4,2
db810183-4276-48c4-a2f6-3b6f62f91a8b,Ricky Rain Frog Bag,ONE SIZE,40.0,In Stock,2024/01/06 07:39:03,7,7
2b90e0f5-36d4-46ef-a6b6-e5c5180e3b54,Stellan Sabre Tooth Tiger,ONE SIZE,75.0,In Stock,2024/01/06 07:39:04,19,7
718eb755-0276-44d1-a17a-49cac0e21621,Sweater French Bulldog Purple,ONE SIZE,32.5,In Stock,2024/01/06 07:39:06,7,7
9d04d237-da47-4bc1-9fbc-7e724e2b89c7,Bashful Snow Tiger Soother,ONE SIZE,25.0,In Stock,2024/01/06 07:39:08,13,13
5f913623-eed2-40c6-a728-037e51db1777,Spindleshanks Spider,SMALL,27.5,In Stock,2024/01/06 07:39:10,3,14
1a11df6a-813d-4c40-9ede-440360271504,Stanley Stick Insect,ONE SIZE,28.0,In Stock,2024/01/06 07:39:11,3,11
08dc2175-b5f6-4517-b8a1-ddd1f994fd7f,Timmy Turtle,ONE SIZE,40.0,In Stock,2024/01/06 07:39:13,11,8
58f320f9-d789-4738-b15b-994a5e618b9b,Viggo Mammoth,ONE SIZE,75.0,In Stock,2024/01/06 07:39:14,19,7
48ffe42e-8dff-422f-9ccf-b48e75716c41,Maya Octopus,REALLY BIG,130.0,In Stock,2024/01/06 07:39:19,30,12
48ffe42e-8dff-422f-9ccf-b48e75716c41,Maya Octopus,LARGE,53.0,In Stock,2024/01/06 07:39:19,19,7
48ffe42e-8dff-422f-9ccf-b48e75716c41,Maya Octopus,LITTLE,30.0,Returning to stock 3-4 weeks,2024/01/06 07:39:19,9,4
48ffe42e-8dff-422f-9ccf-b48e75716c41,Maya Octopus,TINY,18.0,Returning to stock 3-4 weeks,2024/01/06 07:39:19,6,3
3b90f16f-9ee4-4900-8f5b-c3b743ad2508,Albert Jack Russell,ONE SIZE,30.0,In Stock,2024/01/06 07:39:21,7,6
26bcd210-f688-42da-9b8b-4f2787865daa,Birdling Hummingbird,ONE SIZE,17.0,In Stock,2024/01/06 07:39:22,4,2
00ba3187-2b7b-49f1-bc5f-b974eada9035,Bartholomew Bear Bedtime,MEDIUM,30.0,In Stock,2024/01/06 07:39:24,10,5
c439c061-cb38-4e23-9fe9-df2fb318b476,Bashful Christmas Bunny,MEDIUM,27.5,In Stock,2024/01/06 07:39:25,12,5
262c66da-03dc-4f91-b01f-f6e89bf5197b,Bashful Luxe Bunny Luna,HUGE,85.0,In Stock,2024/01/06 07:39:27,20,8
262c66da-03dc-4f91-b01f-f6e89bf5197b,Bashful Luxe Bunny Luna,MEDIUM,35.0,In Stock,2024/01/06 07:39:27,12,5
ee929765-e68b-42ab-8626-43bc74f28a3e,Bashful Christmas Bunny Decoration,TINY,15.0,In Stock,2024/01/06 07:39:29,5,2
faa2f461-c91f-49c8-88c9-f7002e76eba2,Merry Mouse Book,ONE SIZE,15.0,In Stock,2024/01/06 07:39:31,7,7
0ca28ac7-5fc4-4f1b-9e90-40a8b85de65b,Otto’s Snowy Christmas Book,ONE SIZE,15.0,In Stock,2024/01/06 07:39:32,7,9
d46cf38c-4c0b-4fb8-aa97-474d5a151727,The Playful Polar Bears Book,ONE SIZE,15.0,In Stock,2024/01/06 07:39:34,8,8
d9352281-f3c1-4afd-b866-17511638dc3f,Mitzi Reindeer’s Dream Book,ONE SIZE,15.0,In Stock,2024/01/06 07:39:35,8,8
0c23096d-1479-4d14-8e60-3f9c13fbaa96,Festive Folly Penguin,ONE SIZE,12.5,In Stock,2024/01/06 07:39:37,4,2
6f1d9e40-c385-4178-a44d-2e57e8a4336d,Sofia Reindeer,ONE SIZE,60.0,In Stock,2024/01/06 07:39:38,17,5
9982f6c8-d77e-4487-90c8-33678407b04d,Christmas Grizzo,ONE SIZE,37.5,In Stock,2024/01/06 07:39:40,11,4
45960091-0e55-4aba-b850-6b4b20eda5e2,Maurice Macaroni Penguin,ONE SIZE,32.5,In Stock,2024/01/06 07:39:42,8,5
ca3c7895-6c30-4594-b294-19a077e9b617,Merry Mouse,ONE SIZE,27.5,In Stock,2024/01/06 07:39:43,7,4
7054f968-6577-4fbb-97c4-8ecb3afe268f,Merry Mouse Present,ONE SIZE,27.5,In Stock,2024/01/06 07:39:45,7,4
565a523a-62fb-4e55-a825-45becafbd657,Merry Mouse Skiing,ONE SIZE,37.5,In Stock,2024/01/06 07:39:46,8,5
0fb507cf-5589-4d39-9a57-72a680197226,Winter Warmer Otto Sausage Dog,ONE SIZE,32.5,In Stock,2024/01/06 07:39:48,6,3
85e56a4a-62f9-4368-ad53-68589933d794,Personalised Bashful Luxe Bunny Luna Huge,HUGE,91.0,In Stock,2024/01/06 07:39:50,20,8
63303920-3f21-4a24-8a9b-05c3ee4d4af4,Personalised Bashful Luxe Bunny Luna Medium,MEDIUM,41.0,In Stock,2024/01/06 07:39:52,12,5
a7bcbce1-d865-470a-99ba-07bda7dc05ff,Winter Warmer Pippa Black Labrador,ONE SIZE,32.5,In Stock,2024/01/06 07:39:53,9,3
8f93a185-5d9c-45bd-bb16-b899468adf33,Santa Ricky Rain Frog,ONE SIZE,35.0,In Stock,2024/01/06 07:39:55,6,5
89c14224-49af-450e-a80e-c04b24b2642a,Otto's Snowy Christmas Book & Winter Warmer Otto Sausage Dog,ONE SIZE,47.5,In Stock,2024/01/06 07:39:56,,
e76e90e8-20f5-41a8-85cc-9f3cd0713401,Amuseabean Bunny,ONE SIZE,20.0,In Stock,2024/01/06 07:39:58,4,4
25dd03c9-9796-4347-a47c-ca23bb729828,Amuseabean Highland Cow,ONE SIZE,20.0,In Stock,2024/01/06 07:40:00,4,4
a399e70f-fb46-4761-a4af-26973a2cea87,Amuseabean Ram,ONE SIZE,20.0,In Stock,2024/01/06 07:40:01,4,4
f4304deb-6c7d-4034-b6ac-893044461810,Bashful Luxe Bunny Rosa,HUGE,85.0,More on the way,2024/01/06 07:40:03,20,8
f4304deb-6c7d-4034-b6ac-893044461810,Bashful Luxe Bunny Rosa,MEDIUM,35.0,In Stock,2024/01/06 07:40:03,12,5
5b094492-ca8a-468a-b0b6-2c13c1343840,Bashful Sloth,MEDIUM,28.0,In Stock,2024/01/06 07:40:05,11,5
b8728fad-8322-479d-b8cd-78c9d50c8785,Bashful Luxe Bunny Willow,HUGE,85.0,In Stock,2024/01/06 07:40:07,20,8
b8728fad-8322-479d-b8cd-78c9d50c8785,Bashful Luxe Bunny Willow,MEDIUM,35.0,In Stock,2024/01/06 07:40:07,12,5
2216bebc-8e2e-4cbb-9c99-9517d2ca41de,Birdling Goldfinch,ONE SIZE,17.0,In Stock,2024/01/06 07:40:09,4,3
92d63736-3354-4b63-90d5-e672fb775c10,Birdling Swallow,ONE SIZE,17.0,In Stock,2024/01/06 07:40:10,4,3
8070bc18-b7fa-4f3a-baa9-fec8eb3e2105,Blowzy Belle Sheep,ONE SIZE,37.5,In Stock,2024/01/06 07:40:12,16,4
1eb972b8-d5b5-4237-b9b8-4b690d853f7b,Fou Fou Ostrich,ONE SIZE,28.5,In Stock,2024/01/06 07:40:13,8,6
1372bf0f-ed69-46aa-a583-98df6afe34c8,Fou Fou Peacock,ONE SIZE,28.5,In Stock,2024/01/06 07:40:15,8,6
6cd04549-6139-4527-967c-24416b951c87,Fuzzkin Monkey,ONE SIZE,25.0,In Stock,2024/01/06 07:40:17,9,4
a3f3fb22-bb3b-4c52-9ae9-5ce055f94777,Ginny Goat,ONE SIZE,35.0,In Stock,2024/01/06 07:40:18,10,6
94faa8fd-981f-41b5-aa8c-6df048d9d9e1,Gracie Grouper Fish,ONE SIZE,30.0,In Stock,2024/01/06 07:40:31,4,10
24986286-7a8e-48ea-b102-203521ab7a9d,Hector Fox Terrier,ONE SIZE,35.0,In Stock,2024/01/06 07:40:32,9,4
5dd15bac-4ce2-4b2c-aa1b-e607f59e5c36,Jinx Monster,ONE SIZE,35.0,In Stock,2024/01/06 07:40:34,17,6
b058a2df-32af-4dd5-a61e-152b16f8a01a,Jollipop Cat,ONE SIZE,23.5,In Stock,2024/01/06 07:40:35,8,4
399633a8-d34a-4efb-8a3d-8459e487e3f3,Jollipop Puppy,ONE SIZE,23.5,In Stock,2024/01/06 07:40:37,8,4
b22d04de-54bc-4bb7-bbf0-665f5179d6b1,Bashful Sloth with Personalised Red Jumper,MEDIUM,38.0,In Stock,2024/01/06 07:40:39,11,5
6bd76f98-0ce6-4168-95e3-ced912ad1a54,Lavender Dragon,HUGE,120.0,In Stock,2024/01/06 07:40:41,7,26
6bd76f98-0ce6-4168-95e3-ced912ad1a54,Lavender Dragon,MEDIUM,65.0,In Stock,2024/01/06 07:40:41,5,20
6bd76f98-0ce6-4168-95e3-ced912ad1a54,Lavender Dragon,LITTLE,32.5,In Stock,2024/01/06 07:40:41,3,12
7a723930-3c44-4da4-80d6-8741dc5b3a44,Lila Ballerina Bunny,ONE SIZE,35.0,In Stock,2024/01/06 07:40:43,13,2
0fb7d4e1-53f6-47e3-9a8f-8c6721f4d130,Madison Monkey,ONE SIZE,32.5,In Stock,2024/01/06 07:40:44,13,2
639083d7-7cfe-4263-a8ae-db132065317f,Ollivander the Orca,ONE SIZE,70.0,In Stock,2024/01/06 07:40:46,9,25
6ede4a96-4ea3-4e4b-bb74-f144f69864ce,Oswald Orangutan,ONE SIZE,65.0,In Stock,2024/01/06 07:40:47,13,12
486693f0-f871-4e9a-adc8-34996b0f27ae,Personalised Bashful Luxe Bunny Willow Huge,HUGE,91.0,In Stock,2024/01/06 07:40:49,20,8
0a6db866-4fab-4eba-917d-183c01cfafdc,Personalised Bashful Luxe Bunny Rosa Medium,MEDIUM,41.0,In Stock,2024/01/06 07:40:51,12,5
8aad98bd-e1ee-4c97-8eb9-6dc41b6c031f,Personalised Bashful Luxe Bunny Willow Medium,MEDIUM,41.0,In Stock,2024/01/06 07:40:52,12,5
382f457c-412f-4f87-9675-53f2a41ff631,Personalised Lavender Dragon Huge,HUGE,126.0,In Stock,2024/01/06 07:40:54,7,26
be9685ca-9133-4d9c-9b5d-b84f1fa34b06,Pippa Black Labrador,ONE SIZE,33.0,In Stock,2024/01/06 07:40:56,9,4
ff38b068-4f71-4bcc-9d19-0e84729b4026,Quaxy Elephant,ONE SIZE,35.0,In Stock,2024/01/06 07:40:57,10,6
3c6b89f1-b008-43df-a3f2-451885559fa5,Quaxy Pig,ONE SIZE,35.0,In Stock,2024/01/06 07:40:59,10,6
c3fe129f-5ef9-4e07-be86-947f22eea330,Ramonda Ostrich,ONE SIZE,40.0,In Stock,2024/01/06 07:41:00,22,6
713b83f0-3792-441f-86df-20e453ab505e,Rock-a-Bye Kitten,ONE SIZE,30.0,In Stock,2024/01/06 07:41:02,7,4
e15bcf89-ee2a-42d5-865c-f699f684ad73,Sweetsicle Bunny,ONE SIZE,20.0,In Stock,2024/01/06 07:41:03,6,3
41041e74-55f4-49c1-9d5e-d78f1e655a37,Syd Salamander,ONE SIZE,27.5,In Stock,2024/01/06 07:41:05,10,4
9001d562-27ba-49db-b8e5-7363c7e19d41,Bashful Hot Pink Bunny,MEDIUM,28.0,In Stock,2024/01/06 07:41:07,12,5
9001d562-27ba-49db-b8e5-7363c7e19d41,Bashful Hot Pink Bunny,SMALL,18.0,In Stock,2024/01/06 07:41:07,7,4
0f6baf12-bd53-4811-bede-899ffa359f78,Bashful Sunshine Bunny,MEDIUM,28.0,In Stock,2024/01/06 07:41:09,12,5
0f6baf12-bd53-4811-bede-899ffa359f78,Bashful Sunshine Bunny,SMALL,18.0,In Stock,2024/01/06 07:41:09,7,4
4b7d2e49-0168-4dfb-9ce9-29b8e59d02d1,Goodnight Bunny Book,ONE SIZE,15.0,In Stock,2024/01/06 07:41:11,7,7
456124c4-ac6b-4326-b48e-15515fdc5d75,Bluebell Butterfly,ONE SIZE,33.0,In Stock,2024/01/06 07:41:12,8,13
e1157995-1524-4ce9-81ad-b941e7339754,Bonnie Bunny with Egg,ONE SIZE,23.5,In Stock,2024/01/06 07:41:14,6,3
6abc1833-bc68-446c-bd40-9f1e4a2af383,Burly Boo Sheep,ONE SIZE,25.0,In Stock,2024/01/06 07:41:15,7,5
c707a135-6045-4c9a-a701-edb35c0dafff,Cluny Cockerel,ONE SIZE,35.0,In Stock,2024/01/06 07:41:17,9,5
3bfc7323-4c96-49ac-a139-f05ee0d28f84,Escarfgot Purple,ONE SIZE,20.0,In Stock,2024/01/06 07:41:18,6,3
1c433861-b8c7-44ad-a5df-28c58f96512e,Escarfgot Pink,ONE SIZE,20.0,In Stock,2024/01/06 07:41:20,5,2
048c0ab6-7040-492d-bc9d-a35942104e02,Bashful Hot Pink Bunny with Personalised Cream Jumper,MEDIUM,38.0,In Stock,2024/01/06 07:41:22,12,5
482be995-09ec-4f04-bf28-fe737e4bb54f,Bashful Sunshine Bunny with Personalised Cream Jumper,MEDIUM,38.0,In Stock,2024/01/06 07:41:23,12,5
bf515dc8-ef38-4110-9572-82caba6e955b,Bashful Hot Pink Bunny with Personalised Navy Jumper,MEDIUM,38.0,In Stock,2024/01/06 07:41:25,12,5
cafe895f-a544-4872-8074-ac0f9292a3c3,Bashful Sunshine Bunny with Personalised Navy Jumper,MEDIUM,38.0,In Stock,2024/01/06 07:41:27,12,5
b773aa8c-6091-4805-827e-d255c7fb4a0b,Bashful Sunshine Bunny with Personalised Red Jumper,MEDIUM,38.0,In Stock,2024/01/06 07:41:29,12,5
b143372b-dfa0-4613-9d72-6d31b3d82e9f,Layla Ladybird,ONE SIZE,25.0,In Stock,2024/01/06 07:41:30,3,6
836cb6ca-18f7-4b13-99ff-8abab458ea87,Nesting Bunnies,ONE SIZE,35.0,In Stock,2024/01/06 07:41:32,4,6
8514a788-0f03-4530-a08f-e44e4abf9e3f,Personalised Bashful Hot Pink Bunny Medium,MEDIUM,34.0,In Stock,2024/01/06 07:41:33,12,5
16901bc0-5eb5-4329-93d4-61d58a8d52e6,Personalised Bashful Sunshine Bunny Medium,MEDIUM,34.0,In Stock,2024/01/06 07:41:35,12,5
6e887911-9a27-45b6-903b-4892b6d8e092,Blossom Heart Blush Bunny,ONE SIZE,17.5,In Stock,2024/01/06 07:41:37,6,3
638595e3-a934-4c75-8e8e-5e9351cdd673,Blossom Heart Tulip Bunny,ONE SIZE,17.5,In Stock,2024/01/06 07:41:38,6,3
73c2c2f3-4158-4b10-bb78-6035d42fd531,Crowning Croaker Green Frog,ONE SIZE,17.5,In Stock,2024/01/06 07:41:40,5,3
309dd404-30b0-4d63-9c10-e0dcafda272d,Love-Me Lobster,ONE SIZE,24.0,In Stock,2024/01/06 07:41:42,6,3
a77bcffd-2272-4271-9757-73efa009ed5d,Ambrosie Fox,ONE SIZE,35.0,In Stock,2024/01/06 07:41:43,9,5
128a7d75-51a6-489a-8271-a27fd4d8ab06,Ambrosie Hare,ONE SIZE,35.0,In Stock,2024/01/06 07:41:44,9,4
bb60f59b-92ba-4c48-b86e-905dfeabf065,Anoraknid Black Spider,ONE SIZE,20.0,In Stock,2024/01/06 07:41:46,5,4
ea113076-799d-4f52-91c9-a01d3467c1a6,Andie Axolotl,MEDIUM,32.5,In Stock,2024/01/06 07:41:48,11,5
ea113076-799d-4f52-91c9-a01d3467c1a6,Andie Axolotl,SMALL,22.0,Out of stock,2024/01/06 07:41:48,7,2
83c0b3b9-6b30-47a5-b2c6-b7ca7cec7611,Bashful Golden Bunny,MEDIUM,28.0,In Stock,2024/01/06 07:41:51,12,5
83c0b3b9-6b30-47a5-b2c6-b7ca7cec7611,Bashful Golden Bunny,SMALL,18.0,In Stock,2024/01/06 07:41:51,7,4
a2fbe7ae-2882-49bf-9b93-bdf0ea2007ff,Bashful Mineral Blue Bunny,MEDIUM,28.0,In Stock,2024/01/06 07:41:54,12,5
a2fbe7ae-2882-49bf-9b93-bdf0ea2007ff,Bashful Mineral Blue Bunny,SMALL,18.0,Out of stock,2024/01/06 07:41:54,7,4
28ac59b4-86dc-4421-af7f-d2c2beb10ba6,Bashful Wolf,MEDIUM,28.0,In Stock,2024/01/06 07:41:55,12,5
8155da60-a5c8-419b-bcc5-6d85e0dea2a0,Wrapabat Black,ONE SIZE,20.0,In Stock,2024/01/06 07:41:57,6,2
d07ee782-e659-4634-9c1a-86f657195cc7,Beatnik Buddy Poodle,ONE SIZE,28.0,In Stock,2024/01/06 07:41:59,11,3
31290e4a-39c5-4b91-ba59-597afc4f10cf,Beatnik Buddy Sausage Dog,ONE SIZE,28.0,In Stock,2024/01/06 07:42:00,11,3
0e11b80c-af78-4a5d-8f2e-775cc099a989,Daddy Loves Me Book,ONE SIZE,20.0,In Stock,2024/01/06 07:42:02,6,6
ea1a48b2-f803-432c-8951-2694c00e25aa,Mummy Loves Me Book,ONE SIZE,20.0,In Stock,2024/01/06 07:42:03,6,6
45abf07d-0cad-40be-8c79-bad93ddeba63,Backpack Wolf,ONE SIZE,30.0,In Stock,2024/01/06 07:42:05,9,4
eb614759-38f0-4a54-aba8-02d2e510ca51,Big Spottie Unicorn,ONE SIZE,75.0,In Stock,2024/01/06 07:42:06,17,6
cedc155f-9ad4-460d-ae99-325e587b17ad,Cozy Crew Seahorse,ONE SIZE,25.0,In Stock,2024/01/06 07:42:08,7,2
b72ce075-6327-4e28-bb73-55e308cf5dd1,Davey Dilophosaurus,ONE SIZE,32.5,In Stock,2024/01/06 07:42:10,11,5
2a406948-d517-479a-9bd3-ee8e8901bee9,Delano Dorado Fish,ONE SIZE,27.5,In Stock,2024/01/06 07:42:11,5,10
21a88751-c0e5-446c-8815-bfc8b4413dd0,Evelyn Swan,ONE SIZE,40.0,In Stock,2024/01/06 07:42:13,19,6
ad66930d-35e7-4a40-b8ba-f70b9b688260,Fishiful Blue,ONE SIZE,17.5,In Stock,2024/01/06 07:42:14,5,6
