jellycatsizeid,jellycatid,jellycatname,size,price,stock,height,width,datecreated
ab54d699-2e5b-4ed3-b2e2-37618e65761f,a57dc462-fe8e-4a5b-aea2-ec24792d8b55,Truffles Sheep,LARGE,110.0,In Stock,9.0,25.0,2024/01/08 19:12:10
7d05a9af-1749-43ff-96a5-ab4ae75de680,0c0b9edf-c5cd-4e4b-a65d-6be7d05207db,Golden Dragon,HUGE,120.0,In Stock,7.0,26.0,2024/01/08 19:13:18
67cf038c-958e-4671-8524-817a724bff72,0c0b9edf-c5cd-4e4b-a65d-6be7d05207db,Golden Dragon,LARGE,65.0,In Stock,5.0,20.0,2024/01/08 19:13:18
c64f45c8-fee9-4d81-9806-6df1e52b500b,0c0b9edf-c5cd-4e4b-a65d-6be7d05207db,Golden Dragon,LITTLE,32.5,In Stock,3.0,12.0,2024/01/08 19:13:18
9a601d11-7f0a-4f0c-8025-074abc795db1,6e3876d1-8729-4b9a-9edd-465c2a145c19,Golden Dragon Bag Charm,ONE SIZE,28.0,In Stock,5.0,9.0,2024/01/08 19:13:20
7d64b1a3-0a41-4799-917c-4309de98e414,47a71f73-4fd2-4fc8-a532-7f67872f9a93,Lavender Dragon Bag Charm,ONE SIZE,28.0,In Stock,5.0,9.0,2024/01/08 19:13:21
f1ead41b-7aec-4a79-8cf7-a3f7ebd3a2cc,f25bd69a-d3f3-4331-8271-cb99944e0362,Little Dragon Bag Charm,ONE SIZE,23.0,In Stock,7.0,2.0,2024/01/08 19:13:23
f18e92ae-1c19-4634-b919-734b9930c707,c181f4ec-ac01-49d2-91db-2236944c86ba,Rose Dragon Bag Charm,ONE SIZE,28.0,In Stock,5.0,9.0,2024/01/08 19:13:24
137ceed5-d625-4f51-ac01-9ab47a12c65c,14cdd830-718d-41c7-9246-66a1ae1695f2,Snow Dragon Bag Charm,ONE SIZE,28.0,In Stock,5.0,9.0,2024/01/08 19:13:26
3e6bf1ce-d436-4ba0-901c-e51292f77e8e,136035f6-13ae-4623-80f0-86a2f019b5a5,Aimee Sheep,ONE SIZE,40.0,In Stock,8.0,9.0,2024/01/08 19:13:28
1817283b-6db7-4a88-880f-8f1cdd2b3c96,82aaf2ec-73b7-4320-bd59-8ab8639a4dc6,Bashful Red Love Heart Bunny,MEDIUM,32.0,In Stock,12.0,5.0,2024/01/08 19:13:29
bb1e8158-600d-4fca-ae68-70afa8c9fa49,82aaf2ec-73b7-4320-bd59-8ab8639a4dc6,Bashful Red Love Heart Bunny,SMALL,25.0,In Stock,7.0,4.0,2024/01/08 19:13:29
fe2dab06-f2a0-4ea6-9c06-b468b07628df,3ebd1de7-3405-4479-908a-c3d5b86a434e,Fabian Frog Prince,ONE SIZE,40.0,In Stock,9.0,8.0,2024/01/08 19:13:31
5f173d44-56fd-4d5f-9e1b-6af7a64308dd,7e5a3794-07c0-45d7-8f2f-229160cc617f,Loulou Love Bug,ONE SIZE,20.0,In Stock,2.0,5.0,2024/01/08 19:13:33
87878689-3eb8-43a0-9fad-f88207d66b35,8d99ae88-61d1-4eaf-9d7f-6f7009c3d8f9,Amore Bunny,MEDIUM,40.0,In Stock,10.0,7.0,2024/01/08 19:13:34
342a5ea0-922c-4813-b6d7-5ac0ff113865,e3b66e13-4a47-4ecb-8c6f-1444845013dc,Bibbly Bobbly Sheep,ONE SIZE,55.0,In Stock,14.0,9.0,2024/01/08 19:13:36
acb10d35-3044-4039-9bc3-ac53caa8dbd6,42f9f6ee-8610-45ed-a028-e65265798eef,Brynlee Bee,ONE SIZE,28.0,In Stock,5.0,6.0,2024/01/08 19:13:38
404a2083-845e-49ea-b690-3c3558290ce7,75fe5535-fc65-4295-a8b3-e72d87e48143,Bartholomew Bear Bathrobe,MEDIUM,45.0,In Stock,10.0,5.0,2024/01/08 19:13:39
ccdc418e-1a66-4a09-997e-6518501f4fde,fbf5301d-b192-4aa3-9d4d-042b19bce0f3,Bashful Duckling,MEDIUM,28.0,In Stock,12.0,5.0,2024/01/08 19:13:41
c54d33d3-47bf-4d35-b952-9b6ea606a246,c74e22a0-e66f-4a47-adc6-f0af0f59d0bc,Bashful Moss Bunny,MEDIUM,28.0,In Stock,12.0,5.0,2024/01/08 19:13:43
c7db24c3-ff4f-4e45-8437-f20c9dbbfbdd,c74e22a0-e66f-4a47-adc6-f0af0f59d0bc,Bashful Moss Bunny,SMALL,18.0,In Stock,7.0,4.0,2024/01/08 19:13:43
c3aaa703-6d06-43e3-bb6e-ee67a89d0164,f78452ee-fb12-4db3-acaa-0e6ded7aa4ac,Bashful Viola Bunny,MEDIUM,28.0,In Stock,12.0,5.0,2024/01/08 19:13:45
d776306f-dc48-4d2d-93b6-844446d22591,f78452ee-fb12-4db3-acaa-0e6ded7aa4ac,Bashful Viola Bunny,SMALL,18.0,In Stock,7.0,4.0,2024/01/08 19:13:45
5d99f5f6-34af-472f-b40b-34284ded8120,b79a2df9-711f-40c8-b1e7-5a42ac91be0a,Bashful Bunny with Carrot,SMALL,28.0,In Stock,7.0,4.0,2024/01/08 19:13:46
d031d97d-84a0-4972-aa10-4ebce9d9b44c,c0311cde-7b17-4d64-b2e9-0c15e018bbb8,Bashful Bunny with Daffodil,SMALL,28.0,In Stock,7.0,4.0,2024/01/08 19:13:48
2ce51962-126a-481e-8533-7461c3bd002a,87682ae5-2636-43ab-8447-6ac3206a5dc5,Lottie Fairy Bunny Book,ONE SIZE,15.0,In Stock,7.0,7.0,2024/01/08 19:13:49
755d0da7-4ef5-45d8-8d13-3ae2a7bed37f,e05cd47c-af7c-4939-9045-0eaa67b691ae,Blossom Cherry Bunny,MEDIUM,28.0,In Stock,12.0,5.0,2024/01/08 19:13:51
d570483b-b771-4e68-9a6f-2466bbc13098,e05cd47c-af7c-4939-9045-0eaa67b691ae,Blossom Cherry Bunny,SMALL,18.0,In Stock,7.0,4.0,2024/01/08 19:13:51
b8b9b3f0-c34b-49fd-a2d0-4b474f4bbd97,75bf1202-a791-4f55-9e8a-87514bba3f16,Dainty Dessert Bunny Macaron,ONE SIZE,28.0,In Stock,5.0,5.0,2024/01/08 19:13:53
2aed432f-5c4e-4f6f-a575-06ea75ce7139,24a5a6ef-e4aa-4151-bcd4-acdf84133cbf,Lottie Bunny Fairy,ONE SIZE,32.5,In Stock,11.0,3.0,2024/01/08 19:13:54
b5103c64-b114-4fa9-b2a6-772211c2feee,01de10b4-0e78-4371-ad21-3ea05a3cbaf6,Messenger Bunny,ONE SIZE,32.5,In Stock,7.0,5.0,2024/01/08 19:13:56
332eba31-1fb5-44f3-a36e-c2beeeca39e1,2410def2-5baf-4dba-93ce-ce1dbf634b41,Smudge Rabbit Big,BIG,75.0,In Stock,6.0,17.0,2024/01/08 19:13:58
782c042b-5851-43ff-99ef-7bcc7344ccc2,37d5c89a-e7e0-423b-8f1e-79d78f111699,Amore Corgi,MEDIUM,40.0,In Stock,10.0,7.0,2024/01/08 19:13:59
b446b660-0c2e-4f3e-aa6c-1c609b12dd13,bce1262a-4356-42f4-87df-12c3cb1a1b64,Bartholomew Bear Pumpkin,LARGE,50.0,In Stock,14.0,8.0,2024/01/08 19:14:01
f3a5ef6a-0b7d-4030-85c8-fcdec7de09c3,125e91e6-57ac-4480-9b22-19264654b7a6,Bashful Pegasus,MEDIUM,28.0,In Stock,12.0,5.0,2024/01/08 19:14:03
fe9c7bed-fea8-471a-aa82-14d73d6b9d40,53ee60f9-b902-4f3c-8def-5d5bfd21b7ed,If I Were an Owl Board Book,ONE SIZE,13.5,In Stock,6.0,6.0,2024/01/08 19:14:04
6edb9b78-92e1-49be-9ee2-decc9b8f7152,9cf60853-d1a2-4bae-8d44-951e832d22c4,Betty Corgi Bag Charm,ONE SIZE,23.0,In Stock,4.0,2.0,2024/01/08 19:14:06
28a3893b-590a-4a66-928e-1700725e9a2c,0475ce66-2680-4535-a17a-fe7aa40d0cf7,Rory Le Courageux Petit Lion Livre (The Very Brave Lion),ONE SIZE,15.0,In Stock,9.0,9.0,2024/01/08 19:14:08
a5b42c4e-937e-4239-9cb1-3ed5b23308a5,916bda2f-9cfb-4e33-bced-e1f03321877a,Lapin Timide Et Ses Petites Aventures Livre (Little Me),ONE SIZE,15.0,In Stock,8.0,8.0,2024/01/08 19:14:10
11c3b58a-23ae-4839-857d-723af86001f6,9187637d-a62e-40bf-9c17-6a0873c98045,Merry Mouse Skiing,ONE SIZE,37.5,In Stock,8.0,5.0,2024/01/08 19:14:11
7c9f8e18-3d62-46b5-9ae1-706655fdd095,f8db85cd-c891-42cf-8d5c-87eba2e5328c,Lapin Timide Veille Sur Tes Nuits Livre (The Magic Bunny),ONE SIZE,15.0,In Stock,7.0,7.0,2024/01/08 19:14:13
c8e2688d-ad30-47a9-b542-7d5685623909,7ce8e6e1-0fce-40fc-8baa-4212070e6fe7,Lapin Timide Veut Grandir Livre (When I Am Big),ONE SIZE,15.0,In Stock,8.0,8.0,2024/01/08 19:14:15
6b06f496-1dff-4969-b4f6-596a05083bc4,0d9f78fc-f3c6-4731-b3ad-4411859a17f6,Bodacious Beak Parrot,ONE SIZE,30.0,In Stock,9.0,4.0,2024/01/08 19:14:17
55faad6f-db1b-47ce-94f3-4407d86aae19,bfcc9b5f-bbbc-4bee-bb32-32f9452e36ed,Bodacious Beak Toucan,ONE SIZE,30.0,In Stock,9.0,4.0,2024/01/08 19:14:19
f450a072-f399-4b60-b1e8-ddebadf8437b,00268971-702b-45de-9a3a-8a2a2a9a2947,Bryno Dino,ONE SIZE,55.0,In Stock,12.0,6.0,2024/01/08 19:14:21
5631f7c6-35d7-4d2f-93b1-563c2e6d16ea,19e084fd-3b7e-4c8c-8feb-9dfb63e437c6,Coquette Cutie Bunny,ONE SIZE,32.5,In Stock,10.0,2.0,2024/01/08 19:14:22
113c078f-6b3d-4332-b9f4-29ada308e154,b587667c-11ce-4b69-a6f3-b3d2e4cc44ee,Comfy Coat Bunny,ONE SIZE,25.0,In Stock,7.0,3.0,2024/01/08 19:14:24
b24e4111-8f2a-49e6-88e6-c8ed37f3c801,d363f1e9-538e-4ab1-adf7-669d5fbb2c72,Comfy Coat Mouse,ONE SIZE,25.0,In Stock,7.0,3.0,2024/01/08 19:14:25
1683de88-799c-4a5d-9264-f080c04b681c,86fa069e-160e-40fb-9c11-15d8cacd9dd9,Cuddlebud Bernard Bunny,ONE SIZE,28.0,In Stock,6.0,4.0,2024/01/08 19:14:27
f7cac169-a403-4c89-a18a-92da703cfd6d,84c5a97c-2c85-41b6-8a06-7fd540771554,Cuddlebud Darcy Dormouse,ONE SIZE,28.0,In Stock,6.0,4.0,2024/01/08 19:14:29
44a1ba47-7467-48c3-8b41-1efeafa783f2,6cbe7e6a-7358-43b0-8561-0529892c9c8c,Cuddlebud Morgan Mole,ONE SIZE,28.0,In Stock,6.0,4.0,2024/01/08 19:14:30
76cd9b98-5b8a-4744-8937-cff591062a5d,1212f023-e660-4902-b6b8-fc29bf5f402d,Spooky Greta Gremlin,ONE SIZE,40.0,In Stock,11.0,4.0,2024/01/08 19:14:32
d1e3ec5d-9297-4b70-9947-455c7c34321a,c7f35efd-de92-4dfe-a5d2-ce458ed1e406,Harvey Bear,ONE SIZE,150.0,In Stock,11.0,25.0,2024/01/08 19:14:34
d58c5af0-4ba4-4935-87c8-deb3b507b305,9265a488-a85a-4943-9174-d746ecd4fb09,Huddles Grey Elephant,ONE SIZE,45.0,In Stock,10.0,6.0,2024/01/08 19:14:35
570aae5f-e80a-48a3-ae27-19c37254895e,6eef333b-aec8-47f1-b83d-59ea837caa5c,Isadora Unicorn,ONE SIZE,65.0,In Stock,13.0,13.0,2024/01/08 19:14:37
1fda6af5-e166-4b4e-8861-077a5e51e57d,0cbadbb1-d17c-4589-93d9-e14585e9dfc7,Little Dragon,ONE SIZE,22.0,In Stock,7.0,4.0,2024/01/08 19:14:39
56fb67f7-e177-4d6a-bd93-d5679ac0440d,d5b07e8c-7dee-47e4-b0dc-52a804b1487f,Lois Lionfish,ONE SIZE,35.0,In Stock,6.0,10.0,2024/01/08 19:14:40
cd723253-9f42-4a54-8b12-5d2dae94281e,01ea3570-daa5-40de-90e4-d5ad95af632e,Napping Nipper Westie,ONE SIZE,25.0,In Stock,4.0,6.0,2024/01/08 19:14:42
0aa9d7cf-8e09-4650-806a-fa73af6a50e6,92e75182-b8f8-41b3-aaa9-1c5cfd030655,Otto Sausage Dog Bag Charm,ONE SIZE,23.0,In Stock,4.0,2.0,2024/01/08 19:14:44
f2e80453-0e84-433f-a758-38cd43567a86,134a1eeb-8a95-47ef-8955-3b5066a50620,Ricky Rain Frog Bag,ONE SIZE,40.0,In Stock,7.0,7.0,2024/01/08 19:14:45
367f5905-847c-4314-93a0-ae6a05debb93,7564c4f7-94ca-4de3-be48-be20bf114370,Stellan Sabre Tooth Tiger,ONE SIZE,75.0,In Stock,19.0,7.0,2024/01/08 19:14:47
72843dbe-5abc-4a76-84df-18eb519218d3,277b1801-b018-4e53-8ff8-c3019e785eaa,Sweater French Bulldog Purple,ONE SIZE,32.5,In Stock,7.0,7.0,2024/01/08 19:14:48
7c513486-f755-4270-9aaa-bf6246923f4c,1dc0df1c-eef7-4807-b20c-89cefad25756,Bashful Snow Tiger Soother,ONE SIZE,25.0,In Stock,13.0,13.0,2024/01/08 19:14:50
f785bd63-b863-4576-bf06-ad37d70d214c,b6a45500-df8c-436a-9df2-8949e1603c28,Spindleshanks Spider,SMALL,27.5,In Stock,3.0,14.0,2024/01/08 19:14:52
bb503c7a-978e-443d-8161-b3a1ba7fe912,ab172034-5347-4eb3-a3b0-481e06e87d74,Stanley Stick Insect,ONE SIZE,28.0,In Stock,3.0,11.0,2024/01/08 19:14:54
a1a2fdba-08b2-42d5-83ca-921a748a20cc,58188e20-9743-44ea-8cc7-862f9851ab6d,Viggo Mammoth,ONE SIZE,75.0,In Stock,19.0,7.0,2024/01/08 19:14:55
0bafe279-9a3f-401a-bfcb-cd9bc7ae7ccb,d0102678-f2c7-4ae8-bb3b-f16e6edb9b58,Maya Octopus,REALLY BIG,130.0,In Stock,30.0,12.0,2024/01/08 19:14:57
694916c3-8314-428e-a2cc-44a39eb9a5f9,d0102678-f2c7-4ae8-bb3b-f16e6edb9b58,Maya Octopus,LARGE,53.0,More on the way,19.0,7.0,2024/01/08 19:14:57
c1de0ca4-65b4-4fdc-bb3e-98ea0de35431,d0102678-f2c7-4ae8-bb3b-f16e6edb9b58,Maya Octopus,LITTLE,30.0,Returning to stock 3-4 weeks,9.0,4.0,2024/01/08 19:14:57
6be01680-764c-4d74-9034-5b2673e98fa8,d0102678-f2c7-4ae8-bb3b-f16e6edb9b58,Maya Octopus,TINY,18.0,Returning to stock 2-3 months,6.0,3.0,2024/01/08 19:14:57
1b655968-1250-4652-8856-6c50714cbd4b,de41286c-b4bc-417a-b9cb-f05414167fe1,Albert Jack Russell,ONE SIZE,30.0,In Stock,7.0,6.0,2024/01/08 19:14:59
a0c2253e-dc19-4650-a543-0dc41e12dc03,882d3427-693d-4fca-ae4d-9df3eae1385d,Birdling Hummingbird,ONE SIZE,17.0,In Stock,4.0,2.0,2024/01/08 19:15:01
7a6cd6b1-d94b-4028-a8bf-ad0182c0ed16,8bb4e0b4-f001-4d04-b207-0586dc7659ee,Bashful Christmas Bunny,MEDIUM,27.5,In Stock,12.0,5.0,2024/01/08 19:15:03
17ba3dcd-20da-4272-8453-0a34c4692361,75387512-83cf-46ac-b504-4c00656338df,Bashful Luxe Bunny Luna,HUGE,85.0,In Stock,20.0,8.0,2024/01/08 19:15:05
5360b833-6cb2-42de-9ab2-23b50e26e2b0,75387512-83cf-46ac-b504-4c00656338df,Bashful Luxe Bunny Luna,MEDIUM,35.0,In Stock,12.0,5.0,2024/01/08 19:15:05
c5cba985-7c1b-45fd-8600-2b450626e41c,89e13bb9-a7ea-4719-a0e1-4bbcc584b591,Bashful Christmas Bunny Decoration,TINY,15.0,In Stock,5.0,2.0,2024/01/08 19:15:07
40fdf2c2-f505-4404-8b4f-8a0510d68fa9,29dd3de2-9bd3-443e-8e63-4c45f9e6687d,Merry Mouse Book,ONE SIZE,15.0,In Stock,7.0,7.0,2024/01/08 19:15:09
b9d3120d-50c0-47bc-8dbb-956cc67c0095,935eb975-32b8-4ca3-9c2d-f05af759c5eb,Otto’s Snowy Christmas Book,ONE SIZE,15.0,In Stock,7.0,9.0,2024/01/08 19:15:10
3cf7bfd2-bc5c-4f7f-a991-b101738708b3,66bdad56-f4ba-46d1-a3cf-804db6ea337c,The Playful Polar Bears Book,ONE SIZE,15.0,In Stock,8.0,8.0,2024/01/08 19:15:12
ed9076b0-1647-4ea4-9a6b-4c75f21fe6fc,aaec8a14-6c5d-4958-ba3c-287e8f1ac7de,Mitzi Reindeer’s Dream Book,ONE SIZE,15.0,In Stock,8.0,8.0,2024/01/08 19:15:14
f3a2803a-9e0a-4909-8aad-4cbd79df765d,edcfb629-c635-4a14-8fbb-e7bf78c49e8a,Festive Folly Penguin,ONE SIZE,12.5,In Stock,4.0,2.0,2024/01/08 19:15:16
4a03d67d-6aa5-4c9a-873d-339369ccf29b,b3e07beb-6784-4cc1-bc17-4299f30a095d,Sofia Reindeer,ONE SIZE,60.0,In Stock,17.0,5.0,2024/01/08 19:15:17
69e1180d-a15b-4377-816e-eded5f2681a0,318a9751-fec6-4770-9106-2deb618cd00b,Christmas Grizzo,ONE SIZE,37.5,In Stock,11.0,4.0,2024/01/08 19:15:20
ccbd1607-a2a8-41f3-ab78-f47ce65f4101,0aa80360-712e-432c-9e91-e594a737c6fc,Maurice Macaroni Penguin,ONE SIZE,32.5,In Stock,8.0,5.0,2024/01/08 19:15:22
d0a9520f-eaf8-42e9-ad7a-547524519c88,b6c5b7d5-4c46-4dd5-9fc6-75248bae19c7,Merry Mouse,ONE SIZE,27.5,In Stock,7.0,4.0,2024/01/08 19:15:24
2833fa82-f81b-44b0-a4fe-cded3a281609,be8062d0-ab91-4074-8d0a-ebcf8a98eb82,Merry Mouse Present,ONE SIZE,27.5,In Stock,7.0,4.0,2024/01/08 19:15:26
4577d278-a6d9-4c81-8c5d-f6d6d4b2a91a,beee754d-b914-42e3-a3fc-dc266c6cfc7a,Winter Warmer Otto Sausage Dog,ONE SIZE,32.5,In Stock,6.0,3.0,2024/01/08 19:15:28
64bd4273-80b6-4dcc-b56f-4983273b094c,15da1a12-5bff-44fd-9abb-ebf8a3b30c49,Personalised Bashful Luxe Bunny Luna Huge,HUGE,91.0,In Stock,20.0,8.0,2024/01/08 19:15:30
9b96913d-ee4c-4d10-8c44-3f3a9823ea78,53de4956-5c49-4772-aac5-f44bd85cb659,Personalised Bashful Luxe Bunny Luna Medium,MEDIUM,41.0,In Stock,12.0,5.0,2024/01/08 19:15:32
318d17d4-56bf-4578-9e5c-7f703f888347,57a5ef58-1963-4f20-9cc7-352b4d3fc534,Winter Warmer Pippa Black Labrador,ONE SIZE,32.5,In Stock,9.0,3.0,2024/01/08 19:15:33
4fe56566-915c-402f-9df3-5665ed5bbe17,89306b4e-f6e7-4c37-afb8-62b1f21c1905,Santa Ricky Rain Frog,ONE SIZE,35.0,In Stock,6.0,5.0,2024/01/08 19:15:35
b0b82a2c-7c16-45db-afc7-71349e247708,8774d081-7327-45af-8722-8974de7400d4,Otto's Snowy Christmas Book & Winter Warmer Otto Sausage Dog,ONE SIZE,47.5,In Stock,,,2024/01/08 19:15:37
66a3348d-c8b1-4118-8db6-34a9233a5c05,8d4ad49d-0865-4a27-9cdd-d946fa4e1052,Amuseabean Bunny,ONE SIZE,20.0,In Stock,4.0,4.0,2024/01/08 19:15:39
ea35206e-9db9-4ff6-be34-606fb06c37ee,0b980144-be49-4f5e-bd1d-ddeeabc53755,Amuseabean Highland Cow,ONE SIZE,20.0,In Stock,4.0,4.0,2024/01/08 19:15:41
2660dbe7-e4c7-42e9-a29d-48e800fad71d,15c04879-3381-48a7-b7e8-ce9111cb1de0,Amuseabean Ram,ONE SIZE,20.0,In Stock,4.0,4.0,2024/01/08 19:15:43
8e8dbdef-6333-4b74-ad31-d9a5e155675a,ea403ee6-2356-4016-86f7-38bebba3b9b4,Bartholomew Bear Bag Charm,ONE SIZE,23.0,In Stock,5.0,2.0,2024/01/08 19:15:45
b25015c6-8936-4862-9033-15762aebe058,96bba7f7-7f42-4e4c-9cc4-92a5800b896e,Bashful Luxe Bunny Rosa,HUGE,85.0,More on the way,20.0,8.0,2024/01/08 19:15:46
2e707b27-34ff-47ca-9a65-ae70f4dfa88c,96bba7f7-7f42-4e4c-9cc4-92a5800b896e,Bashful Luxe Bunny Rosa,MEDIUM,35.0,In Stock,12.0,5.0,2024/01/08 19:15:46
0910c239-8fc3-4f38-ab93-2b07e260ae39,325ed17e-75a5-4d9b-9c50-da504f2322e9,Bashful Luxe Bunny Willow,HUGE,85.0,More on the way,20.0,8.0,2024/01/08 19:15:48
b4797780-9080-4904-8e02-ffc51db8ba59,325ed17e-75a5-4d9b-9c50-da504f2322e9,Bashful Luxe Bunny Willow,MEDIUM,35.0,In Stock,12.0,5.0,2024/01/08 19:15:48
e21bec14-9e82-4b5e-ac8c-40780bc5872a,c0734a59-3b0a-4322-96d4-b12eef9e663c,Birdling Goldfinch,ONE SIZE,17.0,In Stock,4.0,3.0,2024/01/08 19:15:50
ac52211a-2fea-4fcc-8790-9c14dc8cef37,f8811cde-8b66-488b-9cda-b964a3be6a0e,Birdling Swallow,ONE SIZE,17.0,In Stock,4.0,3.0,2024/01/08 19:15:52
3c3fa29e-e705-4ca4-9613-e03745563d8f,93b714f2-dc4c-45b7-8d2f-af15a354ee68,Blowzy Belle Sheep,ONE SIZE,37.5,In Stock,16.0,4.0,2024/01/08 19:15:55
74790b2a-b813-4e6f-b157-302bace2fec0,ae18768c-472d-4160-8870-fc70d2cb2000,Fou Fou Ostrich,ONE SIZE,28.5,In Stock,8.0,6.0,2024/01/08 19:15:56
2ce53ff8-4d5b-4c7a-b3fb-e3df75116e55,666d95e0-4448-499c-a77f-ca0a083b7795,Fou Fou Peacock,ONE SIZE,28.5,In Stock,8.0,6.0,2024/01/08 19:15:58
b33b5e31-661b-45a5-a3ec-1ee2734e54f3,e12ef97e-fd2a-4dfb-bda7-f6919b97255f,Fuzzkin Monkey,ONE SIZE,25.0,In Stock,9.0,4.0,2024/01/08 19:15:59
f86ff2fb-1f06-4ea2-a627-f38e32627007,b7a3e794-9d46-4c77-a892-22e45c8ffb29,Ginny Goat,ONE SIZE,35.0,In Stock,10.0,6.0,2024/01/08 19:16:01
305515f5-75b5-41ab-8424-2dab80c53920,eef07030-d06e-4958-b289-91d3b437bd8a,Gracie Grouper Fish,ONE SIZE,30.0,In Stock,4.0,10.0,2024/01/08 19:16:02
a6978f75-d400-4a0b-b144-afc13e7abb30,94954fff-0176-4c2c-a792-dfc2f2e617fc,Hector Fox Terrier,ONE SIZE,35.0,In Stock,9.0,4.0,2024/01/08 19:16:04
5f79c200-87f0-4a8b-abd9-ead9d54a7ea6,d6ebd1df-9bd7-4e52-9f13-f51c46240afe,Jinx Monster,ONE SIZE,35.0,In Stock,17.0,6.0,2024/01/08 19:16:06
b7c923a9-c675-4796-88d7-52d707d20b49,79f47aa0-1b0b-44d3-813b-6c0d0cb52a6c,Jollipop Cat,ONE SIZE,23.5,In Stock,8.0,4.0,2024/01/08 19:16:07
445d6c64-715f-4ff6-a553-c1953282b696,7a668322-e695-4d93-bbd7-c4e39b7b074c,Jollipop Puppy,ONE SIZE,23.5,In Stock,8.0,4.0,2024/01/08 19:16:09
b5b5f452-4784-4093-9882-2a4b45e835cf,1bb19243-3cdd-4f06-a244-3be4abf7db56,Lavender Dragon,HUGE,120.0,In Stock,7.0,26.0,2024/01/08 19:16:11
d7871c46-a482-410d-87cc-e5c9110345a4,1bb19243-3cdd-4f06-a244-3be4abf7db56,Lavender Dragon,MEDIUM,65.0,In Stock,5.0,20.0,2024/01/08 19:16:11
38716b48-0cad-45ae-bd53-036ef303e40b,1bb19243-3cdd-4f06-a244-3be4abf7db56,Lavender Dragon,LITTLE,32.5,In Stock,3.0,12.0,2024/01/08 19:16:11
cdf76223-22dc-4990-9494-7afbb55846a6,97b98900-5db5-4cca-a3ff-75818d54a464,Lila Ballerina Bunny,ONE SIZE,35.0,In Stock,13.0,2.0,2024/01/08 19:16:12
ceff343c-b4f2-49b2-96aa-ef0cefda7346,a51bd1a4-022f-410f-9bf8-fa3ae7e07399,Madison Monkey,ONE SIZE,32.5,In Stock,13.0,2.0,2024/01/08 19:16:14
6b151071-3a8f-4a1f-885c-6458081a499c,5e288c72-76c4-44fe-9d33-9c7fb078310d,Ollivander the Orca,ONE SIZE,70.0,In Stock,9.0,25.0,2024/01/08 19:16:16
4c77e176-f6e7-4949-8c51-9cf8f0bb9783,8e5a8936-4e3d-4a2d-a89e-0ff60ea67377,Oswald Orangutan,ONE SIZE,65.0,In Stock,13.0,12.0,2024/01/08 19:16:18
a869202f-6c19-4a68-84fe-054fd35c8d05,2271868d-e8ef-4726-9c40-ace053e2133d,Personalised Bashful Luxe Bunny Willow Huge,HUGE,91.0,In Stock,20.0,8.0,2024/01/08 19:16:19
5d83ff36-fab0-4706-9254-5101e524937a,075e3cc1-d861-4c18-87db-2e559b62244d,Personalised Bashful Luxe Bunny Rosa Medium,MEDIUM,41.0,In Stock,12.0,5.0,2024/01/08 19:16:21
