,jellycat_id,size,price,stock
0,a660c730-9ddf-4c71-b36a-a56d9863a38b,"ONE SIZE - H8"" X W8""",$15.00 USD,In Stock
0,8f450ab3-b158-4023-a16f-6a6db6f7a14a,"ONE SIZE - H8"" X W8""",$15.00 USD,In Stock
0,f4d3e37b-dc31-48cf-849c-71da1903d3e5,"ONE SIZE - H4"" X W2""",$12.50 USD,In Stock
0,5787333c-296a-48f0-af8c-4b90316ea38f,"ONE SIZE - H17"" X W5""",$60.00 USD,In Stock
0,b3484419-d3d9-4fc2-8472-19bb350a4cde,"ONE SIZE - H11"" X W4""",$37.50 USD,In Stock
0,d579cc9e-db7a-48be-b091-2d7c6c261ac1,"ONE SIZE - H8"" X W5""",$32.50 USD,In Stock
0,026fc7b9-2359-4662-b1ce-c5664ed9a8f0,"ONE SIZE - H7"" X W4""",$27.50 USD,In Stock
0,46d774b3-5d17-40da-bc9a-175f2e6c61c8,"ONE SIZE - H7"" X W4""",$27.50 USD,In Stock
0,ed93ca52-73ec-4915-a1e2-a6b72b333083,"ONE SIZE - H8"" X W5""",$37.50 USD,In Stock
0,267aab33-36f0-4677-b176-353e9ad1cce3,"ONE SIZE - H6"" X W3""",$32.50 USD,In Stock
0,18a4cbf9-e53b-46b7-a541-48c4d1aaff82,"HUGE - H20"" X W8""",$91.00 USD,In Stock
0,11f76a62-e185-463c-a47b-98cdf0598e73,"MEDIUM - H12"" X W5""",$41.00 USD,In Stock
0,44c6e796-02f2-457e-94cf-261d0e8143e8,"ONE SIZE - H9"" X W3""",$32.50 USD,In Stock
0,987dbb58-3097-4673-a1cf-d7f5f81544f6,"ONE SIZE - H6"" X W5""",$35.00 USD,In Stock
0,242662f4-f9c7-4b94-9b50-8b364a256696,ONE SIZE,$47.50 USD,In Stock
0,e0d084b5-b7aa-41c8-b977-5ab99746d337,"ONE SIZE - H4"" X W4""",$20.00 USD,In Stock
0,4fe4c6dc-42d7-4af0-9a35-0c0972aedcfe,"ONE SIZE - H4"" X W4""",$20.00 USD,In Stock
0,f61f6d5c-a61b-424a-968a-67ada4985e66,"ONE SIZE - H4"" X W4""",$20.00 USD,In Stock
0,cc1dc1c2-4efe-4428-ab80-24b5c24f27a0,"HUGE - H20"" X W8""",$85.00 USD,Out of stock
1,cc1dc1c2-4efe-4428-ab80-24b5c24f27a0,"MEDIUM - H12"" X W5""",$35.00 USD,In Stock
0,9daf9906-511e-42b0-8a2e-2189abbe8ec7,"MEDIUM - H11"" X W5""",$28.00 USD,In Stock
0,40092929-38a1-4865-9bb7-0fffc601f3cc,"HUGE - H20"" X W8""",$85.00 USD,In Stock
1,40092929-38a1-4865-9bb7-0fffc601f3cc,"MEDIUM - H12"" X W5""",$35.00 USD,In Stock
0,a0358137-93d3-4cf1-8edd-caac0f5e278e,"ONE SIZE - H4"" X W3""",$17.00 USD,In Stock
0,d06c8ea0-b6c1-495d-ad74-25508d0d476f,"ONE SIZE - H4"" X W3""",$17.00 USD,In Stock
0,6ce28097-5eb8-4940-8dae-43b035d87128,"ONE SIZE - H16"" X W4""",$37.50 USD,In Stock
0,30e1cf2d-6478-485a-8e9d-26763fb4e7ff,"ONE SIZE - H8"" X W6""",$28.50 USD,In Stock
0,c830a0a5-6a2e-4598-9670-b388cf55c350,"ONE SIZE - H8"" X W6""",$28.50 USD,In Stock
0,62cef9ac-21b3-4394-9e93-36de9d644891,"ONE SIZE - H9"" X W4""",$25.00 USD,In Stock
0,f1a6a32d-4dc0-49a0-a5e4-c12a5f6383c1,"ONE SIZE - H10"" X W6""",$35.00 USD,In Stock
0,8f61a9dc-369c-4907-af4b-1c186e170c26,"ONE SIZE - H4"" X W10""",$30.00 USD,In Stock
0,6a29dd33-2eba-4567-a064-b52197a77dc1,"ONE SIZE - H9"" X W4""",$35.00 USD,In Stock
0,60e9365c-afe6-4fd5-b2cb-e8a298c23e25,"ONE SIZE - H17"" X W6""",$35.00 USD,In Stock
0,7d1a6f1d-9313-48d4-908a-211d919d8ec3,"ONE SIZE - H8"" X W4""",$23.50 USD,In Stock
0,a94b14ca-a18f-4cb0-b41a-007c79fc9c85,"ONE SIZE - H8"" X W4""",$23.50 USD,In Stock
0,23ce6cd1-cd3c-42da-b1f4-101b896bb6bb,"MEDIUM - H11"" X W5""",$38.00 USD,In Stock
0,7f0f8478-44a1-4a66-ad9d-609401941147,"HUGE - H7"" X W26""",$120.00 USD,In Stock
1,7f0f8478-44a1-4a66-ad9d-609401941147,"MEDIUM - H5"" X W20""",$65.00 USD,In Stock
2,7f0f8478-44a1-4a66-ad9d-609401941147,"LITTLE - H3"" X W12""",$32.50 USD,In Stock
0,d8b35c29-e380-4a5e-8a73-b022942ab91f,"ONE SIZE - H13"" X W2""",$35.00 USD,In Stock
0,0d432548-c435-4890-b453-5c97ad2653d8,"ONE SIZE - H13"" X W2""",$32.50 USD,In Stock
0,2dcac286-094e-4a76-80f3-6645344f471e,"ONE SIZE - H9"" X W25""",$70.00 USD,In Stock
0,ac8d1f90-bb0e-449f-8a6b-892902d94c29,"ONE SIZE - H13"" X W12""",$65.00 USD,In Stock
0,b23d87ed-0df4-447b-b35d-6b495214a6d6,"HUGE - H20"" X W8""",$91.00 USD,In Stock
0,f756240c-868a-4b37-9d66-8a9c7006a2d1,"MEDIUM - H12"" X W5""",$41.00 USD,In Stock
0,be3111b2-a417-4ba2-bb9f-d8437865c3e2,"MEDIUM - H12"" X W5""",$41.00 USD,In Stock
0,23eced09-ffd2-49d2-ba0f-3067f073682f,"HUGE - H7"" X W26""",$126.00 USD,In Stock
0,6b934bc8-39ea-4030-8554-8e3077f32852,"ONE SIZE - H9"" X W4""",$33.00 USD,In Stock
0,3328ef36-3cb8-4f47-8fbe-255981197f84,"ONE SIZE - H10"" X W6""",$35.00 USD,In Stock
0,d70b3ece-159f-49df-9269-2b4f75ab471d,"ONE SIZE - H10"" X W6""",$35.00 USD,In Stock
0,dcefbbfc-5cf9-49c5-bd27-e84f9daeddcf,"ONE SIZE - H22"" X W6""",$40.00 USD,In Stock
0,2c6dfcc2-2b8e-42a5-9d16-ceda80e24eea,"ONE SIZE - H7"" X W4""",$30.00 USD,In Stock
0,d5d1d5fa-4924-4f28-b95c-38ca74e93ad5,"ONE SIZE - H6"" X W3""",$20.00 USD,In Stock
0,4d4fb6b1-17ef-4287-8f0e-2f688aef1dfc,"ONE SIZE - H10"" X W4""",$27.50 USD,In Stock
0,1db28c62-93ce-4ff1-8109-c142f3420d39,"ONE SIZE - H5"" X W14""",$30.00 USD,In Stock
0,5db13ec9-64c4-4e40-bfe4-be1cb554066c,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
1,5db13ec9-64c4-4e40-bfe4-be1cb554066c,"SMALL - H7"" X W4""",$18.00 USD,In Stock
0,450342d2-239f-48f9-ab89-fe25fbf6850b,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
1,450342d2-239f-48f9-ab89-fe25fbf6850b,"SMALL - H7"" X W4""",$18.00 USD,In Stock
0,44fb1ebd-1f6d-497b-8852-12affc538b63,"ONE SIZE - H8"" X W13""",$33.00 USD,In Stock
0,ac9d3e28-bae5-450c-bbde-e51a24802b39,"ONE SIZE - H6"" X W3""",$23.50 USD,In Stock
0,1f285126-9995-4a65-a693-320df1b0aa3a,"ONE SIZE - H7"" X W5""",$25.00 USD,In Stock
0,f3688cc3-300b-42bf-b36d-edf44d62ecdd,"ONE SIZE - H9"" X W5""",$35.00 USD,In Stock
0,73fc0a04-2484-4c86-8729-67c4055d1555,"ONE SIZE - H6"" X W3""",$20.00 USD,In Stock
0,6175f593-b65a-4fac-af4a-d6fd147d1437,"ONE SIZE - H5"" X W2""",$20.00 USD,In Stock
0,0435a303-496d-4a36-8184-6302a9f40bde,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,1aece26e-5dcf-4283-8842-3e10589e7ae9,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,60e069e2-3851-4eb7-bb88-36404d8ae43f,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,004739ce-c904-478e-8c19-dfcecaf46ef2,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,1f737016-e7bc-44a9-94fb-bfa679aadb54,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,aaf11ff5-8f3b-4a08-9c19-f6211bab309f,"ONE SIZE - H3"" X W6""",$25.00 USD,In Stock
0,b615c259-ff00-403a-a4a1-357382388505,"ONE SIZE - H4"" X W6""",$35.00 USD,In Stock
0,f122b90f-10a6-49d5-8291-79deede2d149,"MEDIUM - H12"" X W5""",$34.00 USD,In Stock
0,33b1a47c-89c0-4f83-85ee-f28ea3028a36,"MEDIUM - H12"" X W5""",$34.00 USD,In Stock
0,ec382791-0942-4ab6-9d53-8e89d8de510b,"ONE SIZE - H6"" X W3""",$17.50 USD,In Stock
0,36d5101c-4452-4a63-ae6b-ea5f43d22f9b,"ONE SIZE - H6"" X W3""",$17.50 USD,In Stock
0,15a1a7e9-12be-4c9e-ac35-42e60ceb5d1e,"ONE SIZE - H5"" X W3""",$17.50 USD,In Stock
0,54f9f90c-c91b-40e7-aa80-6522984c9db4,"ONE SIZE - H6"" X W3""",$24.00 USD,In Stock
0,48ba16ef-6279-4013-9388-a110bcf6b493,"ONE SIZE - H9"" X W5""",$35.00 USD,In Stock
0,85868547-47c8-4561-be90-49dc86a1082a,"ONE SIZE - H9"" X W4""",$35.00 USD,In Stock
0,64962939-ffe6-4faa-9d03-aa471fa01384,"ONE SIZE - H5"" X W4""",$20.00 USD,In Stock
0,3e31ae09-5882-4372-a304-1c0a3e19b233,"MEDIUM - H11"" X W5""",$32.50 USD,In Stock
1,3e31ae09-5882-4372-a304-1c0a3e19b233,"SMALL - H7"" X W2""",$22.00 USD,Out of stock
0,e0d87ef5-f2d9-425b-b45f-3f0125399021,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
1,e0d87ef5-f2d9-425b-b45f-3f0125399021,"SMALL - H7"" X W4""",$18.00 USD,In Stock
0,e05b3d34-b649-4e82-a828-10da27c3a3ee,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
1,e05b3d34-b649-4e82-a828-10da27c3a3ee,"SMALL - H7"" X W4""",$18.00 USD,Out of stock
0,ce709b91-0d4b-4e7a-b95a-a92e24191e12,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
0,b8e3d39b-a222-4684-8e31-a58b709857e9,"ONE SIZE - H6"" X W2""",$20.00 USD,In Stock
0,67659504-27a5-4abf-a980-6fd01040100c,"ONE SIZE - H11"" X W3""",$28.00 USD,In Stock
0,6fe9be3b-1084-469a-a289-c9e3ddf997df,"ONE SIZE - H11"" X W3""",$28.00 USD,In Stock
0,7f215888-c044-4913-9005-425030dccdab,"ONE SIZE - H6"" X W6""",$20.00 USD,In Stock
0,5e327c49-3c2e-4369-8711-bc983ed41803,"ONE SIZE - H6"" X W6""",$20.00 USD,In Stock
0,c66f3cfb-d510-4a19-9d9a-f6589a5e3871,"ONE SIZE - H9"" X W4""",$30.00 USD,In Stock
0,184aa840-51c5-45d2-a46e-46440027988d,"ONE SIZE - H17"" X W6""",$75.00 USD,In Stock
0,4976e8cc-7259-4365-8815-2feb8aa19785,"ONE SIZE - H7"" X W2""",$25.00 USD,In Stock
0,2a1bba65-d393-447e-9e70-d07447c8c4a0,"ONE SIZE - H11"" X W5""",$32.50 USD,In Stock
0,b33da433-220b-46e3-b613-98a9113e3db8,"ONE SIZE - H5"" X W10""",$27.50 USD,In Stock
0,98753e8a-2765-4eb1-9088-efc748305e0e,"ONE SIZE - H19"" X W6""",$40.00 USD,In Stock
0,a38d3a87-e482-4488-a6a6-c48f93bb4c27,"ONE SIZE - H5"" X W6""",$17.50 USD,In Stock
0,951fd15c-7989-4d7b-a750-279d8fe79b60,"ONE SIZE - H5"" X W6""",$17.50 USD,In Stock
0,9c0c523c-590c-4f21-b326-80aaa181d7d8,"ONE SIZE - H5"" X W6""",$17.50 USD,In Stock
0,3c9d8e68-65dd-4524-9e6c-0d2401431626,"ONE SIZE - H7"" X W6""",$32.50 USD,In Stock
0,61d13942-9920-43d5-88a5-0aa4297b9f95,"ONE SIZE - H8"" X W4""",$32.50 USD,In Stock
0,f2b21963-49a5-4dea-944b-2858ecbdf2ed,"ONE SIZE - H7"" X W4""",$32.50 USD,In Stock
0,e8d218df-678b-47b9-b91d-a8e0bb695f1b,"LARGE - H7"" X W7""",$30.00 USD,Out of stock
1,e8d218df-678b-47b9-b91d-a8e0bb695f1b,"SMALL - H5"" X W7""",$22.00 USD,In Stock
0,77d861e1-9df4-4f86-a078-b1397d2062bf,"ONE SIZE - H7"" X W22""",$85.00 USD,In Stock
0,835d1264-d1de-4904-96fa-717c0bcdef0a,"ONE SIZE - H16"" X W4""",$40.00 USD,In Stock
0,8ae6f8fe-4509-49f2-8c57-ced504001533,"ONE SIZE - H11"" X W6""",$40.00 USD,In Stock
0,712da114-5a9d-4329-81f0-81da28f9386e,"ONE SIZE - H11"" X W4""",$35.00 USD,In Stock
0,1ce0d4bf-6690-4f20-b03b-58d15dbfacc8,"ONE SIZE - H8"" X W16""",$75.00 USD,In Stock
0,16d3bd1b-2350-420a-8876-1cac2726cd6c,"ONE SIZE - H8"" X W20""",$85.00 USD,In Stock
0,6ce2054b-c166-4414-87e4-883dc049d9bc,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,87df80ae-ee65-45e1-8f8a-acfdbeeb3f1a,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,d2d5aace-7174-4ae4-8c4f-e8da2f4f105b,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,1e44c486-48bd-4f36-bd4e-70fcd211175f,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,1579a070-80bf-46d6-bd0a-9bd3b8874237,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,3a13ef4f-776d-487b-bd35-9de28e4af9f1,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,dcf890c6-4324-4a1c-9bf7-fbf4a54d46b0,"MEDIUM - H12"" X W5""",$38.00 USD,In Stock
0,fd9af22d-3312-4611-b2a7-bd7aeb7076b3,"ONE SIZE - H7"" X W4""",$22.00 USD,In Stock
0,58a5ab2b-88c3-4220-9757-103e7caf203e,"ONE SIZE - H23"" X W6""",$39.50 USD,In Stock
0,2be44447-6831-4862-bb59-7f5ed57a37ad,"ONE SIZE - H4"" X W6""",$25.00 USD,In Stock
0,13250790-4890-4cc3-9408-b3e04bed580e,"ONE SIZE - H5"" X W3""",$15.00 USD,In Stock
0,509a50a1-c145-420d-a225-4c631dec64b4,"ONE SIZE - H5"" X W3""",$15.00 USD,In Stock
0,9b254289-e59d-4318-9675-945aa01c9be9,"ONE SIZE - H9"" X W5""",$32.50 USD,In Stock
0,5f6f910a-e3fa-4f7a-aba7-d054d6870613,"ONE SIZE - H10"" X W5""",$30.00 USD,In Stock
0,4ec75a65-51d1-4485-ae08-a8e7a220002f,"HUGE - H23"" X W7""",$65.00 USD,In Stock
0,dcf29fd1-2ca0-4076-b950-97b79e2bd898,"MEDIUM - H12"" X W5""",$34.00 USD,In Stock
0,5add4930-a05b-4133-a601-35e07ae98940,"MEDIUM - H12"" X W5""",$34.00 USD,In Stock
0,5b547b64-0a09-4113-a270-c7b7c56ff369,"SMALL - H9"" X W4""",$22.50 USD,In Stock
0,2a88174c-1994-4d7a-9593-524917ff34fc,"ONE SIZE - H7"" X W4""",$30.00 USD,In Stock
0,c01c42bc-69a3-4a05-86d5-6f119c72dcae,"ONE SIZE - H6"" X W3""",$32.50 USD,In Stock
0,587f04f4-1c86-4d0d-aab8-a32701aa8db6,"ONE SIZE - H6"" X W3""",$32.50 USD,In Stock
0,6015a913-f010-4ffd-9bf6-715cc981e031,"ONE SIZE - H9"" X W20""",$68.50 USD,In Stock
0,c7235b16-c085-482f-b8a7-bee1ffa8be73,"ONE SIZE - H7"" X W13""",$50.00 USD,In Stock
0,f31735c9-720c-46d8-9aff-9fe88d5cd4ee,"ONE SIZE - H11"" X W6""",$36.00 USD,In Stock
0,c2baab96-8718-43e8-babe-3fa6ea920a4c,"ONE SIZE - H3"" X W15""",$33.00 USD,In Stock
0,a90296e0-bfdd-4f39-b8c2-4f8f53b0c061,"ONE SIZE - H7"" X W22""",$68.00 USD,In Stock
0,c609babb-acf4-4e09-a1f7-fedb23088738,"ONE SIZE - H5"" X W3""",$17.50 USD,In Stock
0,1b1c15f1-a07c-4c25-a472-917b4117b59e,"ONE SIZE - H4"" X W3""",$17.00 USD,In Stock
0,b6b2a20b-c66d-4f72-a9b2-2341831e1797,"ONE SIZE - H8"" X W4""",$28.50 USD,In Stock
0,6a17d238-89f4-41ad-9606-7f21debb04af,"ONE SIZE - H9"" X W6""",$30.00 USD,In Stock
0,dfb8456f-323e-48f3-9169-9d67501b2363,"ONE SIZE - H9"" X W6""",$30.00 USD,In Stock
